,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,criterion,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
0,SVM,0.5,0.7283333333333334,1.0,0.12715913040141652,0.1,,,1,linear,,,,,
3858,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,2,30,35,
2230,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,80,35,
2229,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,80,30,
2228,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,80,25,
2227,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,80,20,
2226,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,80,15,
2224,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,80,7,
2222,RF,0.25,0.5183333333333333,1.0,0.20554129079633177,,False,gini,,,,15,80,3,
2221,RF,0.25,0.5516666666666666,1.0,0.19978460623603833,,False,gini,,,,15,80,2,
2219,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,70,35,
2218,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,70,30,
2217,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,70,25,
2216,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,70,20,
2215,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,70,15,
2214,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,15,70,10,
2211,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,70,3,
2208,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,60,35,
2207,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,60,30,
2206,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,60,25,
2205,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,60,20,
2201,RF,0.25,0.5183333333333333,1.0,0.20554129079633177,,False,gini,,,,15,60,5,
2199,RF,0.25,0.5183333333333333,1.0,0.20554129079633177,,False,gini,,,,15,60,2,
2233,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,90,3,
