,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
0,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.1,1,linear
106,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,50,0.0001,linear
100,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,50,0.005,linear
101,SVM,0.2,0.6849999999999999,1.0,0.22990940244655791,50,0.005,rbf
102,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,50,0.001,linear
103,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,50,0.001,rbf
104,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,50,0.0005,linear
105,SVM,0.2,0.6849999999999999,1.0,0.22990940244655791,50,0.0005,rbf
107,SVM,0.2,0.6133333333333333,1.0,0.26074679075472607,50,0.0001,rbf
98,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,50,0.01,linear
108,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,100,1,linear
110,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,100,0.5,linear
112,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,100,0.1,linear
114,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,100,0.05,linear
116,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,100,0.01,linear
117,SVM,0.2,0.6599999999999999,1.0,0.23501772982763092,100,0.01,rbf
99,SVM,0.2,0.6599999999999999,1.0,0.23501772982763092,50,0.01,rbf
96,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,50,0.05,linear
70,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,5,0.0001,linear
84,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,10,0.001,linear
74,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,10,0.5,linear
76,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,10,0.1,linear
78,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,10,0.05,linear
80,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,10,0.01,linear
82,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,10,0.005,linear
83,SVM,0.2,0.6266666666666666,1.0,0.2545366160081667,10,0.005,rbf
85,SVM,0.3333333333333333,0.6716666666666666,1.0,0.22274175380670974,10,0.001,rbf
94,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,50,0.1,linear
86,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,10,0.0005,linear
87,SVM,0.2,0.6133333333333333,1.0,0.26074679075472607,10,0.0005,rbf
88,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,10,0.0001,linear
89,SVM,0.2,0.6483333333333333,1.0,0.24249284067324084,10,0.0001,rbf
90,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,50,1,linear
92,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,50,0.5,linear
118,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,100,0.005,linear
119,SVM,0.2,0.6849999999999999,1.0,0.22990940244655791,100,0.005,rbf
120,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,100,0.001,linear
153,SVM,0.2,0.6599999999999999,1.0,0.23501772982763092,1000,0.01,rbf
143,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,500,0.0001,rbf
144,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1000,1,linear
146,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1000,0.5,linear
148,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1000,0.1,linear
150,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1000,0.05,linear
152,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1000,0.01,linear
154,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1000,0.005,linear
121,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,100,0.001,rbf
155,SVM,0.2,0.6849999999999999,1.0,0.22990940244655791,1000,0.005,rbf
156,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1000,0.001,linear
157,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1000,0.001,rbf
