,estimator,min_score,mean_score,max_score,std_score,parameters
10,AB,0.250,0.650,0.750,0.166,"{'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01), 'reduce_dim__n_components': 30, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
0,AB,0.250,0.625,1.000,0.230,"{'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'reduce_dim__n_components': 10, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
4,AB,0.250,0.625,1.000,0.230,"{'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'reduce_dim__n_components': 10, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
9,AB,0.000,0.625,1.000,0.256,"{'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01), 'reduce_dim__n_components': 20, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
1,AB,0.250,0.600,1.000,0.278,"{'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'reduce_dim__n_components': 20, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
2,AB,0.250,0.600,1.000,0.255,"{'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'reduce_dim__n_components': 30, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
5,AB,0.250,0.600,1.000,0.278,"{'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'reduce_dim__n_components': 20, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
6,AB,0.250,0.600,1.000,0.255,"{'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'reduce_dim__n_components': 30, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
13,AB,0.250,0.600,1.000,0.255,"{'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.001, w_init=None,
        whiten=True), 'reduce_dim__n_components': 20, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
14,AB,0.250,0.575,1.000,0.251,"{'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.001, w_init=None,
        whiten=True), 'reduce_dim__n_components': 30, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
8,AB,0.000,0.550,1.000,0.292,"{'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01), 'reduce_dim__n_components': 10, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
3,AB,0.000,0.525,1.000,0.325,"{'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'reduce_dim__n_components': 36, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
7,AB,0.000,0.525,1.000,0.325,"{'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'reduce_dim__n_components': 36, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
11,AB,0.000,0.525,1.000,0.325,"{'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01), 'reduce_dim__n_components': 36, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
12,AB,0.000,0.525,1.000,0.305,"{'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.001, w_init=None,
        whiten=True), 'reduce_dim__n_components': 10, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
15,AB,0.250,0.450,0.750,0.187,"{'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.001, w_init=None,
        whiten=True), 'reduce_dim__n_components': 36, 'classification__algorithm': 'SAMME', 'classification__n_estimators': 1000}"
