,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
223,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,3,30,7,
189,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,5,20,10,
195,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,5,30,2,
194,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,5,25,10,
193,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,5,25,7,
192,RF,0.25,0.5599999999999999,1.0,0.25972207367791356,,False,,,,5,25,5,
191,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,5,25,3,
190,RF,0.25,0.5599999999999999,1.0,0.20604745947367456,,False,,,,5,25,2,
188,RF,0.25,0.5599999999999999,1.0,0.23442601296689655,,False,,,,5,20,7,
197,RF,0.25,0.5599999999999999,1.0,0.25972207367791356,,False,,,,5,30,5,
187,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,5,20,5,
186,RF,0.25,0.5850000000000001,1.0,0.2399594873214134,,False,,,,5,20,3,
185,RF,0.0,0.5433333333333333,1.0,0.2630166872610515,,False,,,,5,20,2,
184,RF,0.25,0.5683333333333334,1.0,0.2643072706781509,,False,,,,9,40,10,
183,RF,0.25,0.6433333333333333,1.0,0.26969118141558385,,False,,,,9,40,7,
182,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,9,40,5,
196,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,5,30,3,
198,RF,0.25,0.5266666666666666,1.0,0.21936777845030528,,False,,,,5,30,7,
180,RF,0.25,0.5599999999999999,1.0,0.25972207367791356,,False,,,,9,40,2,
207,RF,0.25,0.5599999999999999,1.0,0.25972207367791356,,False,,,,5,40,5,
213,RF,0.25,0.5850000000000001,1.0,0.2399594873214134,,False,,,,3,20,7,
212,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,3,20,5,
211,RF,0.25,0.5549999999999999,1.0,0.22199224210669066,,False,,,,3,20,3,
210,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,3,20,2,
209,RF,0.25,0.5599999999999999,1.0,0.25972207367791356,,False,,,,5,40,10,
208,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,5,40,7,
206,RF,0.25,0.6183333333333334,1.0,0.22539471550543896,,False,,,,5,40,3,
199,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,5,30,10,
205,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,5,40,2,
204,RF,0.25,0.5850000000000001,1.0,0.2399594873214134,,False,,,,5,35,10,
203,RF,0.25,0.5850000000000001,1.0,0.21232182072400274,,False,,,,5,35,7,
202,RF,0.25,0.5850000000000001,1.0,0.21232182072400274,,False,,,,5,35,5,
201,RF,0.25,0.535,1.0,0.22601007843801027,,False,,,,5,35,3,
200,RF,0.25,0.5850000000000001,1.0,0.2399594873214134,,False,,,,5,35,2,
181,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,9,40,3,
179,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,9,35,10,
215,RF,0.25,0.5599999999999999,1.0,0.25972207367791356,,False,,,,3,25,2,
152,RF,0.25,0.5516666666666667,1.0,0.22894079778162932,,True,,,,,35,5,
158,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,True,,,,,40,7,
157,RF,0.2,0.5566666666666666,1.0,0.23156472577277876,,True,,,,,40,5,
156,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,True,,,,,40,3,
155,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,True,,,,,40,2,
154,RF,0.25,0.5850000000000001,1.0,0.21876547564305784,,True,,,,,35,10,
153,RF,0.25,0.5566666666666666,1.0,0.21359359124801056,,True,,,,,35,7,
151,RF,0.25,0.5316666666666666,1.0,0.23255226413766766,,True,,,,,35,3,
160,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,9,20,2,
150,RF,0.25,0.5933333333333334,1.0,0.2908034846191955,,True,,,,,35,2,
149,RF,0.25,0.565,1.0,0.27033415536249866,,True,,,,,30,10,
148,RF,0.25,0.6183333333333334,1.0,0.25160043278535466,,True,,,,,30,7,
147,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,True,,,,,30,5,
146,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,True,,,,,30,3,
145,RF,0.25,0.6183333333333334,1.0,0.25160043278535466,,True,,,,,30,2,
159,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,True,,,,,40,10,
