,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,max_depth,min_samples_split,n_estimators
26,AB,0.3333333333333333,0.6216666666666667,1.0,0.1891574887641395,,,,,,,200
69,RF,0.25,0.5533333333333333,1.0,0.23976840677805925,,False,,,2,2,
27,AB,0.0,0.6383333333333334,1.0,0.2572342209824432,,,,,,,250
31,RF,0.25,0.5999999999999999,1.0,0.20989415321908222,,True,,,9,5,
24,AB,0.25,0.5833333333333333,1.0,0.2406010991015812,,,,,,,100
36,RF,0.0,0.53,1.0,0.25623340054636823,,True,,,5,5,
62,RF,0.25,0.5399999999999998,1.0,0.23288051299611426,,False,,,5,7,
63,RF,0.0,0.45666666666666667,1.0,0.3180845450155945,,False,,,5,10,
28,AB,0.0,0.5883333333333334,1.0,0.2549564232918594,,,,,,,300
44,RF,0.25,0.5800000000000001,0.8,0.15947831618540914,,True,,,2,2,
45,RF,0.3333333333333333,0.5916666666666666,0.8,0.15868382260191352,,True,,,2,3,
51,RF,0.5,0.6,0.8,0.0966091783079296,,True,,,,5,
30,RF,0.25,0.6,0.8,0.14776106839534334,,True,,,9,3,
50,RF,0.5,0.625,0.8,0.09979144919948468,,True,,,,3,
49,RF,0.25,0.575,0.8,0.14127396551853896,,True,,,,2,
32,RF,0.25,0.5616666666666668,0.8,0.2056223615163379,,True,,,9,7,
33,RF,0.25,0.6,0.8,0.14776106839534334,,True,,,9,10,
34,RF,0.25,0.555,0.8,0.15019431857874427,,True,,,5,2,
35,RF,0.5,0.625,0.8,0.09979144919948468,,True,,,5,3,
48,RF,0.25,0.615,0.8,0.20213444370847175,,True,,,2,10,
37,RF,0.25,0.5366666666666667,0.8,0.1961858529274955,,True,,,5,7,
47,RF,0.25,0.5366666666666667,0.8,0.1961858529274955,,True,,,2,7,
46,RF,0.25,0.5666666666666667,0.8,0.1881193474602995,,True,,,2,5,
38,RF,0.25,0.4933333333333333,0.8,0.17829438827088445,,True,,,5,10,
29,RF,0.3333333333333333,0.5466666666666666,0.8,0.13097921802925666,,True,,,9,2,
40,RF,0.25,0.4883333333333334,0.8,0.15952185499868732,,True,,,3,3,
41,RF,0.4,0.5800000000000001,0.8,0.11372481406154654,,True,,,3,5,
43,RF,0.0,0.4883333333333333,0.8,0.2246045908306912,,True,,,3,10,
55,RF,0.25,0.6116666666666667,0.8,0.18334090893439164,,False,,,9,3,
39,RF,0.25,0.5416666666666666,0.8,0.1906494747494003,,True,,,3,2,
53,RF,0.3333333333333333,0.5666666666666667,0.8,0.12202003478482085,,True,,,,10,
66,RF,0.25,0.5533333333333333,0.8,0.1923249564900221,,False,,,3,5,
76,RF,0.0,0.5366666666666667,0.8,0.2519700158528568,,False,,,,5,
75,RF,0.25,0.5416666666666666,0.8,0.1906494747494003,,False,,,,3,
72,RF,0.25,0.4999999999999999,0.8,0.17841898254763516,,False,,,2,7,
71,RF,0.25,0.5149999999999999,0.8,0.23207398245674446,,False,,,2,5,
70,RF,0.25,0.5083333333333333,0.8,0.2145084820907763,,False,,,2,3,
68,RF,0.0,0.4499999999999999,0.8,0.2330951164939612,,False,,,3,10,
25,AB,0.3333333333333333,0.5883333333333333,0.8,0.1740130901844903,,,,,,,150
67,RF,0.25,0.5083333333333332,0.8,0.2145084820907763,,False,,,3,7,
64,RF,0.25,0.4999999999999999,0.8,0.17841898254763516,,False,,,3,2,
58,RF,0.25,0.5083333333333333,0.8,0.19497150788997064,,False,,,9,10,
56,RF,0.0,0.475,0.8,0.2442960408102341,,False,,,9,5,
52,RF,0.25,0.5416666666666666,0.8,0.15442545846531336,,True,,,,7,
65,RF,0.0,0.4766666666666667,0.75,0.2197473296513268,,False,,,3,3,
54,RF,0.25,0.4883333333333333,0.75,0.17305265736827682,,False,,,9,2,
61,RF,0.25,0.5183333333333333,0.75,0.1724738305431355,,False,,,5,5,
60,RF,0.25,0.4883333333333333,0.75,0.17305265736827682,,False,,,5,3,
59,RF,0.25,0.4883333333333333,0.75,0.17305265736827682,,False,,,5,2,
73,RF,0.0,0.40499999999999997,0.75,0.21461205309425968,,False,,,2,10,
