,estimator,min_score,mean_score,max_score,std_score,parameters
442,RF,0.250,0.775,1.000,0.208,"{'classification__bootstrap': False, 'classification__max_depth': 9, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 5, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
234,RF,0.250,0.775,1.000,0.208,"{'classification__bootstrap': True, 'classification__max_depth': 3, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 10, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
730,RF,0.250,0.750,1.000,0.194,"{'classification__bootstrap': False, 'classification__max_depth': None, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 2, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
218,RF,0.250,0.725,1.000,0.175,"{'classification__bootstrap': True, 'classification__max_depth': 3, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 7, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
538,RF,0.250,0.725,1.000,0.175,"{'classification__bootstrap': False, 'classification__max_depth': 5, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 7, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
250,RF,0.250,0.725,1.000,0.208,"{'classification__bootstrap': True, 'classification__max_depth': 2, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 2, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
122,RF,0.250,0.725,1.000,0.208,"{'classification__bootstrap': True, 'classification__max_depth': 5, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 5, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
394,RF,0.250,0.725,1.000,0.175,"{'classification__bootstrap': True, 'classification__max_depth': None, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 10, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
362,RF,0.250,0.725,1.000,0.175,"{'classification__bootstrap': True, 'classification__max_depth': None, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 5, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
356,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': None, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 5, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0)}"
