,estimator,min_score,mean_score,max_score,std_score,parameters
560,RF,0.000,0.750,1.000,0.316,"{'reduce_dim__k': 10, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 5, 'classification__bootstrap': True}"
464,RF,0.250,0.750,1.000,0.296,"{'reduce_dim__k': 10, 'classification__max_depth': 9, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 10, 'classification__bootstrap': True}"
597,RF,0.250,0.750,1.000,0.250,"{'reduce_dim__k': 20, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
476,RF,0.250,0.725,1.000,0.236,"{'reduce_dim__k': 10, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
585,RF,0.250,0.725,1.000,0.284,"{'reduce_dim__k': 20, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 10, 'classification__bootstrap': True}"
537,RF,0.250,0.725,1.000,0.236,"{'reduce_dim__k': 20, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
478,RF,0.250,0.725,1.000,0.236,"{'reduce_dim__k': 30, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
514,RF,0.250,0.725,1.000,0.236,"{'reduce_dim__k': 30, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 7, 'classification__bootstrap': True}"
38,AB,0.500,0.725,1.000,0.208,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__algorithm': 'SAMME', 'classification__n_estimators': 250}"
250,SVM,0.250,0.725,1.000,0.305,"{'classification__gamma': 0.1, 'classification__C': 0.5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'linear', 'reduce_dim__k': 30}"
518,RF,0.250,0.725,1.000,0.284,"{'reduce_dim__k': 30, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 10, 'classification__bootstrap': True}"
418,RF,0.250,0.725,1.000,0.236,"{'reduce_dim__k': 30, 'classification__max_depth': 9, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
488,RF,0.250,0.725,1.000,0.236,"{'reduce_dim__k': 10, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
596,RF,0.000,0.725,1.000,0.344,"{'reduce_dim__k': 10, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
669,RF,0.250,0.725,1.000,0.236,"{'reduce_dim__k': 20, 'classification__max_depth': None, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
202,SVM,0.250,0.725,1.000,0.305,"{'classification__gamma': 1, 'classification__C': 0.5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'linear', 'reduce_dim__k': 30}"
92,AB,0.500,0.725,1.000,0.175,"{'reduce_dim__k': 10, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__algorithm': 'SAMME.R', 'classification__n_estimators': 200}"
573,RF,0.250,0.725,1.000,0.236,"{'reduce_dim__k': 20, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 7, 'classification__bootstrap': True}"
692,RF,0.250,0.725,1.000,0.236,"{'reduce_dim__k': 10, 'classification__max_depth': None, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 7, 'classification__bootstrap': True}"
554,RF,0.250,0.725,1.000,0.284,"{'reduce_dim__k': 30, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 5, 'classification__bootstrap': True}"
766,RF,0.250,0.725,1.000,0.236,"{'reduce_dim__k': 30, 'classification__max_depth': 9, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 10, 'classification__bootstrap': False}"
524,RF,0.000,0.725,1.000,0.344,"{'reduce_dim__k': 10, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 10, 'classification__bootstrap': True}"
175,SVM,0.250,0.700,1.000,0.269,"{'classification__gamma': 0.1, 'classification__C': 0.1, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__kernel': 'linear', 'reduce_dim__k': 36}"
661,RF,0.250,0.700,1.000,0.312,"{'reduce_dim__k': 20, 'classification__max_depth': None, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
922,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 5, 'classification__bootstrap': False}"
441,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 20, 'classification__max_depth': 9, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 5, 'classification__bootstrap': True}"
653,RF,0.250,0.700,1.000,0.218,"{'reduce_dim__k': 20, 'classification__max_depth': None, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
127,SVM,0.250,0.700,1.000,0.269,"{'classification__gamma': 1, 'classification__C': 0.1, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__kernel': 'linear', 'reduce_dim__k': 36}"
410,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': 9, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
662,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': None, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
916,RF,0.250,0.700,1.000,0.292,"{'reduce_dim__k': 10, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 5, 'classification__bootstrap': False}"
