,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,max_depth,min_samples_split,n_estimators
48,RF,0.0,0.5183333333333333,1.0,0.26920149413486627,,True,,,2,10,
53,RF,0.0,0.445,1.0,0.33797189232242375,,True,,,,10,
29,RF,0.2,0.52,1.0,0.20286832072937253,,True,,,9,2,
30,RF,0.0,0.5483333333333333,1.0,0.2654608152711892,,True,,,9,3,
31,RF,0.0,0.51,1.0,0.30066592756745814,,True,,,9,5,
32,RF,0.0,0.49499999999999994,1.0,0.2545202458657377,,True,,,9,7,
33,RF,0.0,0.4216666666666666,1.0,0.2732571031911969,,True,,,9,10,
61,RF,0.0,0.4366666666666667,1.0,0.2911471563774351,,False,,,5,5,
50,RF,0.2,0.5,1.0,0.20385179801894207,,True,,,,3,
63,RF,0.0,0.45666666666666667,1.0,0.2947880594596735,,False,,,5,10,
35,RF,0.0,0.5349999999999999,1.0,0.2521518501926083,,True,,,5,3,
65,RF,0.0,0.4366666666666667,1.0,0.2911471563774351,,False,,,3,3,
51,RF,0.0,0.38333333333333336,1.0,0.27416540019970914,,True,,,,5,
47,RF,0.0,0.39166666666666666,1.0,0.2886029567878102,,True,,,2,7,
69,RF,0.0,0.41833333333333333,1.0,0.28347545455177126,,False,,,2,2,
70,RF,0.0,0.46833333333333327,1.0,0.29330018752124926,,False,,,2,3,
71,RF,0.0,0.44333333333333325,1.0,0.27850792927072415,,False,,,2,5,
72,RF,0.0,0.44333333333333325,1.0,0.27850792927072415,,False,,,2,7,
73,RF,0.0,0.3983333333333333,1.0,0.2769326031125022,,False,,,2,10,
40,RF,0.0,0.4616666666666667,1.0,0.24608602831801188,,True,,,3,3,
45,RF,0.0,0.36666666666666664,1.0,0.27162065049951145,,True,,,2,3,
77,RF,0.0,0.4366666666666667,1.0,0.2911471563774351,,False,,,,7,
37,RF,0.0,0.44833333333333336,0.75,0.19978460623603833,,True,,,5,7,
46,RF,0.0,0.4616666666666666,0.75,0.22161653568470221,,True,,,2,5,
57,RF,0.0,0.42833333333333334,0.75,0.24427329867270478,,False,,,9,7,
43,RF,0.0,0.4533333333333333,0.75,0.2624457615923293,,True,,,3,10,
68,RF,0.0,0.37,0.75,0.24931015935086873,,False,,,3,10,
67,RF,0.0,0.4149999999999999,0.75,0.256087007783596,,False,,,3,7,
62,RF,0.0,0.43499999999999994,0.75,0.24613117550516747,,False,,,5,7,
54,RF,0.0,0.41,0.6666666666666666,0.22462314118441926,,False,,,9,2,
49,RF,0.2,0.475,0.6666666666666666,0.15798206649279317,,True,,,,2,
76,RF,0.0,0.42333333333333334,0.6666666666666666,0.24632859715789757,,False,,,,5,
75,RF,0.0,0.3583333333333333,0.6666666666666666,0.22964344343157522,,False,,,,3,
74,RF,0.0,0.3583333333333333,0.6666666666666666,0.22964344343157522,,False,,,,2,
66,RF,0.0,0.39,0.6666666666666666,0.23335714164249519,,False,,,3,5,
64,RF,0.0,0.4033333333333333,0.6666666666666666,0.23918844267880315,,False,,,3,2,
52,RF,0.0,0.32,0.6666666666666666,0.2261759393824983,,True,,,,7,
60,RF,0.0,0.42333333333333334,0.6666666666666666,0.22951639980136013,,False,,,5,3,
59,RF,0.0,0.41,0.6666666666666666,0.22462314118441926,,False,,,5,2,
58,RF,0.0,0.3783333333333333,0.6666666666666666,0.24083765855400968,,False,,,9,10,
44,RF,0.0,0.42666666666666664,0.6666666666666666,0.23654926665613563,,True,,,2,2,
56,RF,0.0,0.39,0.6666666666666666,0.23335714164249519,,False,,,9,5,
55,RF,0.0,0.4033333333333333,0.6666666666666666,0.23918844267880315,,False,,,9,3,
0,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,0.1,,1,linear,,,
39,RF,0.0,0.45666666666666667,0.6666666666666666,0.18562207723101137,,True,,,3,2,
42,RF,0.0,0.3983333333333333,0.6666666666666666,0.23338689861353495,,True,,,3,7,
18,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,5,,1,linear,,,
2,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,0.1,,0.5,linear,,,
3,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,,0.5,rbf,,,
4,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,0.1,,0.1,linear,,,
5,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,,0.1,rbf,,,
6,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,0.5,,1,linear,,,
8,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,0.5,,0.5,linear,,,
10,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,0.5,,0.1,linear,,,
12,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1,,1,linear,,,
13,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1,,1,rbf,,,
14,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1,,0.5,linear,,,
