,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
0,AB,0.4,0.6516666666666666,1.0,0.1975474626513841,,,,,1.0,,,,100
272,RF,0.25,0.6183333333333334,1.0,0.25314137464183045,,False,,,,,30,5,
287,SVM,0.3333333333333333,0.6366666666666667,1.0,0.23485219938411384,0.1,,0.5,linear,,,,,
285,SVM,0.3333333333333333,0.6366666666666667,1.0,0.23485219938411384,0.1,,1,linear,,,,,
283,RF,0.25,0.6316666666666667,1.0,0.21153539236312732,,False,,,,,40,7,
281,RF,0.25,0.5983333333333334,1.0,0.22894079778162932,,False,,,,,40,3,
278,RF,0.25,0.5983333333333334,1.0,0.22894079778162932,,False,,,,,35,7,
277,RF,0.25,0.5983333333333334,1.0,0.22894079778162932,,False,,,,,35,5,
276,RF,0.25,0.6316666666666667,1.0,0.21153539236312732,,False,,,,,35,3,
275,RF,0.25,0.665,1.0,0.18670386534116892,,False,,,,,35,2,
274,RF,0.25,0.5983333333333334,1.0,0.22894079778162932,,False,,,,,30,10,
271,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,,30,3,
291,SVM,0.3333333333333333,0.6366666666666667,1.0,0.23485219938411384,0.1,,0.05,linear,,,,,
270,RF,0.25,0.6566666666666667,1.0,0.20925794820959345,,False,,,,,30,2,
269,RF,0.25,0.6433333333333333,1.0,0.25256462319352824,,False,,,,,25,10,
268,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,,25,7,
267,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,,25,5,
265,RF,0.25,0.5783333333333334,1.0,0.21896854162692464,,False,,,,,25,2,
264,RF,0.25,0.6033333333333333,1.0,0.2228352655114436,,False,,,,,20,10,
261,RF,0.25,0.6316666666666666,1.0,0.21153539236312732,,False,,,,,20,3,
259,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,2,40,10,
258,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,2,40,7,
289,SVM,0.3333333333333333,0.6366666666666667,1.0,0.23485219938411384,0.1,,0.1,linear,,,,,
293,SVM,0.3333333333333333,0.6366666666666667,1.0,0.23485219938411384,0.1,,0.01,linear,,,,,
189,RF,0.25,0.6366666666666667,1.0,0.2040969268645551,,False,,,,5,20,10,
314,SVM,0.3333333333333333,0.5816666666666667,1.0,0.18950960104672504,0.5,,0.005,rbf,,,,,
