,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,max_depth,min_samples_split,n_estimators
30,RF,0.4,0.5733333333333335,1.0,0.16786237749352226,,True,,,9,3,
24,AB,0.3333333333333333,0.6466666666666667,1.0,0.18794207145347266,,,,,,,100
47,RF,0.2,0.6183333333333334,1.0,0.20445727616736406,,True,,,2,7,
29,RF,0.2,0.5983333333333334,1.0,0.19528469246490138,,True,,,9,2,
43,RF,0.25,0.535,1.0,0.1964193360022265,,True,,,3,10,
50,RF,0.4,0.5850000000000001,0.8,0.13549292724468437,,True,,,,3,
42,RF,0.0,0.49333333333333335,0.8,0.2225109235770485,,True,,,3,7,
35,RF,0.2,0.5900000000000001,0.8,0.17813852287849852,,True,,,5,3,
37,RF,0.3333333333333333,0.5766666666666668,0.8,0.16110727964792765,,True,,,5,7,
38,RF,0.2,0.535,0.8,0.17988422202442697,,True,,,5,10,
40,RF,0.2,0.54,0.8,0.16041612554021284,,True,,,3,3,
44,RF,0.25,0.5216666666666667,0.8,0.1939430042277599,,True,,,2,2,
28,AB,0.0,0.5216666666666666,0.8,0.24461420872694847,,,,,,,300
72,RF,0.2,0.5016666666666667,0.8,0.21466381985689986,,False,,,2,7,
46,RF,0.25,0.5216666666666667,0.8,0.1939430042277599,,True,,,2,5,
76,RF,0.2,0.5266666666666667,0.8,0.16316317667360558,,False,,,,5,
49,RF,0.4,0.5850000000000001,0.8,0.13549292724468437,,True,,,,2,
31,RF,0.25,0.535,0.8,0.1560715647814596,,True,,,9,5,
32,RF,0.2,0.5116666666666667,0.75,0.1595218549986873,,True,,,9,7,
53,RF,0.4,0.5850000000000001,0.75,0.10177589760514683,,True,,,,10,
33,RF,0.2,0.5450000000000002,0.75,0.15348724159790392,,True,,,9,10,
54,RF,0.2,0.52,0.75,0.17729448195962932,,False,,,9,2,
26,AB,0.3333333333333333,0.5349999999999999,0.75,0.16987740677716193,,,,,,,200
45,RF,0.3333333333333333,0.5316666666666666,0.75,0.12876550607812462,,True,,,2,3,
48,RF,0.4,0.5700000000000001,0.75,0.1375984496036686,,True,,,2,10,
27,AB,0.3333333333333333,0.5683333333333332,0.75,0.15941734186997628,,,,,,,250
25,AB,0.3333333333333333,0.6016666666666667,0.75,0.14052480998820893,,,,,,,150
66,RF,0.2,0.5316666666666667,0.75,0.15678187253491888,,False,,,3,5,
57,RF,0.2,0.5116666666666667,0.75,0.1595218549986873,,False,,,9,7,
77,RF,0.2,0.5066666666666667,0.75,0.1782943882708844,,False,,,,7,
75,RF,0.2,0.5566666666666668,0.75,0.16918103387266029,,False,,,,3,
60,RF,0.2,0.5116666666666667,0.75,0.1595218549986873,,False,,,5,3,
61,RF,0.4,0.5650000000000001,0.75,0.1155782563172387,,False,,,5,5,
